generation,timestamp_ms,elapsed_ms,best_fitness,avg_fitness,variance,population_size,unique_operators,rule_count,corpus_bytes,convergence_rate
1,1774969292405,463,0.000000,0.000000,0.000000,20,178,54,8192,0.000000
2,1774969292568,587,0.000000,0.000000,0.000000,20,131,54,8192,0.000000
3,1774969292630,629,0.000000,0.000000,0.000000,20,81,54,8192,0.000000
4,1774969292662,660,0.000000,0.000000,0.000000,20,71,54,8192,0.000000
5,1774969292697,691,0.000000,0.000000,0.000000,20,54,54,8192,0.000000
6,1774969292718,713,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
7,1774969292740,733,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
8,1774969292769,768,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
9,1774969292807,805,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
10,1774969292836,836,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
11,1774969292867,857,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
12,1774969292887,888,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
13,1774969292918,911,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
14,1774969292950,937,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
15,1774969292977,965,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
16,1774969292994,988,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
17,1774969293017,1010,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
18,1774969293034,1031,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
20,1774969293070,1053,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
21,1774969293090,1074,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
22,1774969293110,1100,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
23,1774969293128,1122,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
24,1774969293146,1143,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
25,1774969293167,1165,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
26,1774969293188,1187,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
28,1774969293226,1215,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
29,1774969293252,1237,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
30,1774969293278,1278,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
31,1774969293307,1306,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
32,1774969293337,1329,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
33,1774969293361,1359,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
34,1774969293389,1387,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
35,1774969293418,1411,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
36,1774969293442,1433,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
37,1774969293465,1455,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
38,1774969293484,1477,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
39,1774969293513,1503,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
40,1774969293535,1528,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
41,1774969293559,1551,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
42,1774969293581,1573,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
43,1774969293605,1598,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
44,1774969293630,1622,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
45,1774969293660,1644,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
46,1774969293693,1687,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
47,1774969293726,1709,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
48,1774969293759,1752,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
49,1774969293789,1779,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
50,1774969293815,1805,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
51,1774969293855,1850,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
52,1774969293887,1873,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
53,1774969293917,1915,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
54,1774969293945,1937,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
55,1774969293974,1965,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
56,1774969294000,1990,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
57,1774969294023,2012,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
58,1774969294051,2034,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
59,1774969294077,2077,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
60,1774969294101,2098,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
61,1774969294125,2118,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
62,1774969294149,2139,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
63,1774969294178,2167,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
64,1774969294205,2191,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
65,1774969294237,2235,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
66,1774969294269,2260,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
67,1774969294308,2305,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
68,1774969294342,2335,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
69,1774969294375,2357,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
70,1774969294416,2416,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
71,1774969294458,2459,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
72,1774969294503,2501,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
73,1774969294538,2527,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
74,1774969294571,2569,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
75,1774969294608,2590,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
76,1774969294643,2632,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
77,1774969294679,2675,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
78,1774969294714,2703,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
79,1774969294743,2746,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
80,1774969294977,3007,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
81,1774969295068,3071,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
82,1774969295119,3117,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
83,1774969295173,3168,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
84,1774969295223,3210,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
85,1774969295271,3259,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
86,1774969295307,3301,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
87,1774969295361,3354,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
88,1774969295409,3405,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
89,1774969295453,3447,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
90,1774969295480,3469,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
91,1774969295511,3513,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
92,1774969295541,3534,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
93,1774969295574,3576,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
94,1774969295610,3600,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
95,1774969295641,3643,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
96,1774969295671,3664,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
97,1774969295702,3691,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
97,1774969295702,3713,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
99,1774969295766,3755,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
100,1774969295795,3778,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
101,1774969295828,3824,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
